CODINT_0;FLAG_0;FLAG_1;FLAG_2;FLAG_3;FLAG_4;FLAG_5;FLAG_6;FLAG_7;FLAG_8;FLAG_9;FLAG_10;FLAG_11;FLAG_12;OPTION_0;OPTION_1;OPTION_2;OPTION_3;OPTION_4;OPTION_5;OPTION_6;OPTION_7;OPTION_8;OPTION_9;OPTION_10;OPTION_11;OPTION_12;TYP_0;Texte0;Texte1;Texte2;Texte3;Texte4;Texte5;Texte6;Texte7;Texte8;Texte9;Texte10;Texte11;Texte12;Désignation
GESBRD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Eclatement - Clés ventilation
GESBSG; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Catégorie fournisseur
GESBSIMTC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESBSL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESBTC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Tâches comptables
GESBUC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Calcul budgets
GESBUD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESBUP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage budgets
GESBUV; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Versions de budgets
GESBX9; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Case 1099
GESCAC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Codes comptables
GESCAI; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Caisses
GESCBA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Agenda action commerciale
GESCCC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Articles concurrents
GESCCL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Lignes des codes comptables
GESCCM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESCCMAUS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESCDA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Destinations comptables
GESCDE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Section par défaut
GESCDI; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Axes par défaut
GESCFO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Gestion prévisions de tréso.
GESCFT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Types prévisions de trésorerie
GESCHB; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Chéquiers
GESCIB; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ajustement manuel des sorties
GESCIG; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Définition de l'opération
GESCII; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Validation de la cession
GESCIS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Sélection biens CIG
GESCIT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Pré-enregistrement des sorties
GESCLC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecritures calculées
GESCLL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Appel
GESCLS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Classes de comptes
GESCMA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transaction parc client
GESCMD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transac. agenda support client
GESCMG; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Campagnes marketing
GESCMI; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transaction intervention
GESCMM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Engagements
GESCMS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transaction demande de service
GESCNX; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Contextes d'amortissements
GESCOA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Plan comptable
GESCOE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coeff. et indices réévaluation
GESCOR; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Correspondants
GESCOT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Modèles de contrat de service
GESCPY; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Sociétés
GESCRA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESCRMSFS01; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESCSF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Extraction compte contrepartie
GESCSL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESCSRH; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Analyse flux trésorerie
GESCSTAXUID; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Définitions lignes états
GESCSVATMAP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Mapping soumission en ligne
GESCTRH; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Conteneur fret
GESCUCA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESDAD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Répartitions a posteriori
GESDEB; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Gestion fichier DEB
GESDER; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESDIE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Axes
GESDIH; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Schémas horaires
GESDIHCRM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Schémas horaires
GESDMWBPREX; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Exceptions gestion des déchets
GESDMWPAORD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Classification Ordonnance emballage
GESDMWPPA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Affectation emballage article
GESDMWQUOTA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Quotas de gestion des déchets
GESDMWSC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Système de gestion des déchets
GESDPM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Modes d'amortissement
GESDPP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Plan d'amortissement
GESDRN; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Régimes et natures mouvement
GESDSP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Répartitions a priori
GESDTA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Affectation cpte général/DATEV
GESDTB; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Affectation tiers/DATEV
GESDTE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Export DATEV
GESDTP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Répartitions temporelles
GESDTT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Attribution code taxe DATEV
GESECE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESECS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Versions
GESEDM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Formules
GESEDP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage messages
GESEDS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Segments
GESEOK; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESESLASS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Affec. par type vente intracom.
GESESLTYP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Types de ventes intracom.
GESEXM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Indemnités kilométriques
GESFAE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage FEC
GESFAM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Familles immobilisation
GESFCC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Code fret de marchandises
GESFCS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Charges
GESFCT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Factors
GESFCY; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Sites
GESFGP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupes de relances
GESFID; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Critères de ciblage
GESFIY; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Exercices
GESFLU; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Définition des flux comptables
GESFLY; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coupons de garantie
GESFPT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Textes de relance
GESFRF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Propriétés des zones libres
GESFRT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Classe de fret
GESFTD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Structure fichier DADS-U
GESFUP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Campagnes de relances
GESFXM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Mouvements à intégrer
GESGAD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESGAF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Abonnements
GESGAU; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Pièces automatiques
GESGBS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecran situation tiers
GESGBSH; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecrans balance âgée à date
GESGC2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESGC3; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESGC4; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESGCM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Modèles comptables
GESGCO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transaction saisie code compta
GESGCU; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupes de devises
GESGDA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Schémas de comptes
GESGDE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Transactions saisie pièces
GESGDS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecrans gestion échéances
GESGFP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecran campagnes de relances
GESGFSATT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Attribut
GESGFSCV; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Valeurs perso. ordonnanceur
GESGFSOPT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Matrice d'optimisation
GESGFSSTM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Matrice temps réglage
GESGPC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Pièces comptables
GESGRA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupe pièces automatiques
GESGRT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Subventions
GESGSC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupes de collectif
GESGSP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupes de répartitions
GESGTC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Ecrans de consultation
GESGTE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Types de pièces
GESGTEGRP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Groupes de types de pièce
GESGVA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramètres des variables
GESGVD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESGVG; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Variables pièces automatiques
GESHDA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESHIC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Historique Coûts
GESHIM; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Historique prix de revient
GESHOI; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Articles pour horodatage
GESHTMMAI; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Texte e-mails CRM
GESICA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coûts standards actualisés
GESICB; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coûts standards budget
GESICD; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coûts standards
GESICS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Coûts standards simulés
GESICT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Incoterms
GESICV; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage compteurs versions
GESIDP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage saisie factures tiers
GESINDREF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESINO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Nomenclatures NC8
GESINVCND; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Conditions de facturation
GESITC2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESITF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Articles - Sites
GESITG; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Catégorie article
GESITP; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESITS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESJOU; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Journaux comptables
GESLDA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Lien Dépenses-Biens comptables
GESLDS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Leads
GESLEA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Contrats location financement
GESLED; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Référentiels
GESLGT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Regroupement des dépenses
GESLOC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Emplacements
GESLPN; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Identifiant contenant interne
GESLPNAFF; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Affectation numéro contenant
GESLPNOPE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Opérations numéro contenant
GESLTA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESMAC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Parc client
GESMAS; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
GESMAT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Règles rapprochement
GESMCL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Plan des fiches techniques
GESMDL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Plan de travail
GESMDLA; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Plan de travail
GESMES; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;Paramétrage MES
GESMF0; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;#N/A
