CODINT_0;FLAG_0;FLAG_1;FLAG_2;FLAG_3;FLAG_4;FLAG_5;FLAG_6;FLAG_7;FLAG_8;FLAG_9;FLAG_10;FLAG_11;FLAG_12;OPTION_0;OPTION_1;OPTION_2;OPTION_3;OPTION_4;OPTION_5;OPTION_6;OPTION_7;OPTION_8;OPTION_9;OPTION_10;OPTION_11;OPTION_12;TYP_0;Texte0;Texte1;Texte2;Texte3;Texte4;Texte5;Texte6;Texte7;Texte8;Texte9;Texte10;Texte11;Texte12;Désignation
PSADX;K;S; ; ; ; ; ; ; ; ; ; ; ;12295;12225;0;0;0;0;0;0;0;0;0;0;0;1;K-Arrêt processus;S-Suppression;;;;;;;;;;;;Surveillance utilisateurs
PSIMP;K; ; ; ; ; ; ; ; ; ; ; ; ;12295;0;0;0;0;0;0;0;0;0;0;0;0;1;K-Arrêt processus;;;;;;;;;;;;;Surveillance impressions
GESPHY;G; ; ; ; ; ; ; ; ; ; ; ; ;35491;0;0;0;0;0;0;0;0;0;0;0;0;2;G-Transfert géographique;;;;;;;;;;;;;#N/A
GESSRE;G;H;K;F; ; ; ; ; ; ; ; ; ;23468;23392;16462;9784;0;0;0;0;0;0;0;0;0;2;G-Suivi des modifications;H-Couverture par défaut;K-Modification mvts de stock;F-Facture;;;;;;;;;;Demandes de service
CONSAWW;G;A;U; ; ; ; ; ; ; ; ; ; ;6913;716;6481;0;0;0;0;0;0;0;0;0;0;1;G-Signature;A-Annulation;U-Tous utilisateurs;;;;;;;;;;;#N/A
SAIWRKPLN;G;A;U; ; ; ; ; ; ; ; ; ; ;6913;716;6481;0;0;0;0;0;0;0;0;0;0;1;G-Signature;A-Annulation;U-Tous utilisateurs;;;;;;;;;;;Moniteur Workflow
GESMST;G;H; ; ; ; ; ; ; ; ; ; ; ;18478;18479;0;0;0;0;0;0;0;0;0;0;0;2;G-Génération secteurs;H-Consultation secteurs;;;;;;;;;;;;Secteurs de marché
PAYMEP;G;U; ; ; ; ; ; ; ; ; ; ; ;7042;14174;0;0;0;0;0;0;0;0;0;0;0;1;G-Génération;U-Accès par utilisateur;;;;;;;;;;;;Comptabilisation des effets
REMBAN;G;U; ; ; ; ; ; ; ; ; ; ; ;7042;14174;0;0;0;0;0;0;0;0;0;0;0;1;G-Génération;U-Accès par utilisateur;;;;;;;;;;;;Comptabilisation en banque
REMCPT;G;U; ; ; ; ; ; ; ; ; ; ; ;7042;14174;0;0;0;0;0;0;0;0;0;0;0;1;G-Génération;U-Accès par utilisateur;;;;;;;;;;;;Comptabilisation intermédiaire
