CODINT_0;flags;Désignation
GESAPE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Points d'entrée
GESAPH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèle de paramétrage
GESAPN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil menu utilisateur
GESAPO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Menu processus
GESAPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres portail
GESAPR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Processus
GESAPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation de patchs
GESAPV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Vues du portail
GESAPW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pool de services web
GESARC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'archivage
GESARE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres d'archivage
GESARL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Restrictions d'accès
GESARP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des états
GESARV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Valeurs par défaut
GESARX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code impression
GESARZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Etats ZPL
GESASB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants graphiques
GESASL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles conditionnels
GESASU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sous-programmes
GESASW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Représentations
GESASY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles de présentation
GESATB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des tables
GESATN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de transactions
GESATP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Familles gadgets
GESATU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Subdivisions géographiques
GESATY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de données
GESATYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Content type
GESAUPD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mise à jour
